txn_id,timestamp,user_id,kyc_tier,account_age_days,channel,txn_type,amount_ngn,beneficiary_id,beneficiary_bank,beneficiary_country,beneficiary_new,device_id,device_new,ip_country,name_match_score,status
TXN-100029,2026-06-30 03:22:07,USR-0397,2,170,pos,transfer_out,7058.89,BEN-1096,GTBank,NG,0,DEV-85456,0,NG,0.96,completed
TXN-100030,2026-06-30 03:49:18,USR-2989,2,1139,app,airtime,3889.84,,,NG,0,DEV-58351,0,NG,0.98,completed
TXN-100031,2026-06-30 03:51:15,USR-1517,3,1088,pos,transfer_out,7436.45,BEN-4122,OPay,NG,0,DEV-69871,0,NG,0.95,completed
TXN-100032,2026-06-30 04:02:09,USR-0934,2,1949,pos,transfer_in,3076.6,BEN-2584,Kuda,NG,0,DEV-19329,0,NG,0.99,completed
TXN-100033,2026-06-30 04:14:44,USR-0865,2,1134,app,transfer_in,49961.5,BEN-2099,GTBank,NG,0,DEV-59060,0,NG,0.98,completed
TXN-100034,2026-06-30 04:21:59,USR-0865,2,1134,web,transfer_out,16650.9,BEN-8770,Kuda,NG,0,DEV-59060,0,NG,0.99,completed
TXN-100035,2026-06-30 04:24:38,USR-0701,2,676,pos,airtime,26898.78,,,NG,0,DEV-40433,0,NG,0.99,completed
TXN-100036,2026-06-30 04:26:20,USR-0701,2,676,ussd,bill_payment,6402.66,,,NG,0,DEV-40433,0,NG,0.94,completed
TXN-100037,2026-06-30 04:39:15,USR-0512,1,1487,app,card_spend,8262.1,,,NG,0,DEV-11658,0,NG,0.96,completed
TXN-100038,2026-06-30 04:44:07,USR-1094,2,1651,app,airtime,65704.72,,,NG,0,DEV-60604,0,NG,0.99,completed
TXN-100039,2026-06-30 04:52:14,USR-0123,3,491,pos,transfer_in,16005.12,BEN-4872,GTBank,NG,0,DEV-16630,0,NG,0.94,completed
TXN-100040,2026-06-30 04:53:44,USR-2987,3,905,app,bill_payment,6814.18,,,NG,0,DEV-60422,0,NG,0.98,completed
TXN-100041,2026-06-30 05:16:59,USR-0939,3,1116,app,airtime,6265.74,,,NG,0,DEV-32871,0,NG,0.97,completed
TXN-100042,2026-06-30 05:20:42,USR-1644,1,420,pos,card_spend,5900.04,,,NG,0,DEV-52219,0,NG,0.99,completed
TXN-100043,2026-06-30 05:29:33,USR-0670,2,1032,app,bill_payment,30221.87,,,NG,0,DEV-89569,0,NG,0.97,completed
TXN-100044,2026-06-30 05:42:38,USR-0701,2,676,app,card_spend,22071.04,,,NG,0,DEV-40433,0,NG,0.96,completed
TXN-100045,2026-06-30 05:50:46,USR-2604,2,858,app,airtime,37356.31,,,NG,0,DEV-77952,0,NG,0.95,completed
TXN-100046,2026-06-30 05:58:50,USR-0896,2,1953,web,airtime,9396.26,,,NG,0,DEV-47388,0,NG,0.95,completed
TXN-100047,2026-06-30 06:19:13,USR-0323,2,1484,app,airtime,123339.79,,,NG,0,DEV-46655,0,NG,0.98,completed
TXN-100048,2026-06-30 06:26:43,USR-0637,1,2036,app,transfer_out,8196.52,BEN-8461,Zenith Bank,NG,0,DEV-90120,0,NG,0.96,completed
TXN-100049,2026-06-30 06:36:27,USR-0327,3,2139,ussd,transfer_out,20717.23,BEN-1653,Stanbic IBTC,NG,0,DEV-80776,0,NG,0.94,completed
TXN-100050,2026-06-30 06:37:12,USR-3778,2,1095,ussd,airtime,25458.69,,,NG,0,DEV-21359,0,NG,0.99,completed
TXN-100051,2026-06-30 06:41:27,USR-2496,2,1625,app,transfer_in,4884.85,BEN-5000,OPay,NG,0,DEV-66450,0,NG,0.97,completed
TXN-100052,2026-06-30 06:46:31,USR-3778,2,1095,app,transfer_out,112635.74,BEN-8613,Zenith Bank,NG,0,DEV-21359,0,NG,0.94,completed
TXN-100053,2026-06-30 06:49:20,USR-1644,1,420,app,transfer_out,35325.77,BEN-3067,Moniepoint,NG,0,DEV-52219,0,NG,0.94,completed
TXN-100054,2026-06-30 06:49:35,USR-1139,1,1052,app,card_spend,24434.15,,,NG,0,DEV-98184,0,NG,0.97,completed
TXN-100055,2026-06-30 06:49:46,USR-0293,1,1316,app,transfer_in,33923.47,BEN-6314,First Bank,NG,0,DEV-13794,0,NG,0.94,completed
TXN-100056,2026-06-30 06:53:40,USR-1456,2,1789,pos,transfer_out,27283.46,BEN-1042,UBA,NG,0,DEV-54548,0,NG,0.94,completed
TXN-100057,2026-06-30 07:01:04,USR-3316,2,1022,web,transfer_in,33646.33,BEN-7528,Wema/ALAT,NG,0,DEV-39219,0,NG,0.96,completed
TXN-100058,2026-06-30 07:02:54,USR-2873,2,1118,pos,card_spend,74580.81,,,NG,0,DEV-16658,0,NG,0.95,completed
TXN-100059,2026-06-30 07:11:30,USR-2772,3,1823,app,transfer_out,3990.94,BEN-6107,PalmPay,NG,0,DEV-37760,0,NG,0.99,completed
TXN-100060,2026-06-30 07:20:41,USR-0103,2,282,app,transfer_out,6249.97,BEN-2040,Wema/ALAT,NG,0,DEV-24371,0,NG,0.98,completed
TXN-100061,2026-06-30 07:34:47,USR-0667,2,720,app,airtime,10419.41,,,NG,0,DEV-75323,0,NG,0.95,completed
TXN-100062,2026-06-30 07:41:12,USR-3921,2,986,pos,transfer_out,3548.56,BEN-5082,Kuda,NG,0,DEV-33053,0,NG,0.98,completed
TXN-100063,2026-06-30 07:49:20,USR-2772,3,1823,app,transfer_out,59537.94,BEN-9479,Stanbic IBTC,NG,0,DEV-37760,0,NG,0.99,completed
TXN-100064,2026-06-30 07:53:42,USR-3550,2,1762,web,airtime,19011.16,,,NG,0,DEV-53687,0,NG,0.96,completed
TXN-100065,2026-06-30 08:01:06,USR-0903,2,261,app,card_spend,15706.86,,,NG,0,DEV-50404,0,NG,0.99,completed
TXN-100066,2026-06-30 08:10:39,USR-0131,2,1818,pos,transfer_out,27499.02,BEN-8260,GTBank,NG,0,DEV-34050,0,NG,0.96,completed
TXN-100067,2026-06-30 08:13:02,USR-1409,3,201,ussd,card_spend,12335.93,,,NG,0,DEV-21003,0,NG,0.95,completed
TXN-100068,2026-06-30 08:16:04,USR-2601,2,827,ussd,transfer_in,34356.25,BEN-2293,OPay,NG,0,DEV-32280,0,NG,0.94,completed
TXN-100069,2026-06-30 08:28:15,USR-3034,2,1105,ussd,airtime,18392.18,,,NG,0,DEV-39451,0,NG,0.99,completed
TXN-100070,2026-06-30 08:39:56,USR-0178,3,906,web,airtime,21197.75,,,NG,0,DEV-12671,0,NG,0.96,completed
TXN-100071,2026-06-30 09:07:05,USR-1482,2,607,app,airtime,56098.94,,,NG,0,DEV-93606,0,NG,0.99,completed
TXN-100072,2026-06-30 09:08:57,USR-1409,3,201,app,transfer_in,14937.96,BEN-3977,Kuda,NG,0,DEV-21003,0,NG,0.96,completed
TXN-100073,2026-06-30 09:14:44,USR-2873,2,1118,pos,transfer_in,13195.83,BEN-4610,UBA,NG,0,DEV-16658,0,NG,0.97,completed
TXN-100074,2026-06-30 09:24:26,USR-0323,2,1484,ussd,transfer_out,31735.93,BEN-1166,Zenith Bank,NG,0,DEV-46655,0,NG,0.99,completed
TXN-100075,2026-06-30 09:38:10,USR-3550,2,1762,pos,airtime,52165.0,,,NG,0,DEV-53687,0,NG,0.97,completed
TXN-100076,2026-06-30 10:04:01,USR-1719,1,700,app,transfer_in,52928.51,BEN-3426,Moniepoint,NG,0,DEV-81511,0,NG,0.95,completed
TXN-100077,2026-06-30 10:11:54,USR-2875,2,1449,app,bill_payment,36432.5,,,NG,0,DEV-23154,0,NG,0.96,completed
TXN-100078,2026-06-30 10:19:44,USR-2933,2,1329,app,card_spend,5899.24,,,NG,0,DEV-90173,0,NG,0.99,completed
TXN-100079,2026-06-30 10:22:31,USR-0896,2,1953,web,airtime,2376.18,,,NG,0,DEV-47388,0,NG,0.99,completed
TXN-100080,2026-06-30 10:36:03,USR-1394,2,965,ussd,card_spend,55204.31,,,NG,0,DEV-77000,0,NG,0.93,completed
TXN-100081,2026-06-30 10:44:25,USR-1004,3,1168,web,bill_payment,46091.37,,,NG,0,DEV-75612,0,NG,0.97,completed
TXN-100082,2026-06-30 10:58:05,USR-3504,2,195,app,transfer_in,14899.36,BEN-5415,First Bank,NG,0,DEV-21970,0,NG,1.0,completed
TXN-100083,2026-06-30 11:04:52,USR-2987,3,905,pos,bill_payment,2894.0,,,NG,0,DEV-60422,0,NG,0.94,completed
TXN-100084,2026-06-30 11:19:00,USR-0637,1,2036,app,card_spend,16850.29,,,NG,0,DEV-90120,0,NG,0.94,completed
TXN-100085,2026-06-30 11:21:06,USR-0188,1,801,app,airtime,37695.19,,,NG,0,DEV-82350,0,NG,0.99,completed
TXN-100086,2026-06-30 11:49:39,USR-1003,3,1299,pos,transfer_in,34204.58,BEN-5689,Kuda,NG,0,DEV-12875,0,NG,0.99,completed
TXN-100087,2026-06-30 11:50:03,USR-0934,2,1949,app,transfer_out,6553.32,BEN-5334,First Bank,NG,0,DEV-19329,0,NG,0.96,completed
TXN-100088,2026-06-30 11:55:48,USR-0132,1,1814,app,bill_payment,30705.35,,,NG,0,DEV-78955,0,NG,0.97,completed
TXN-100089,2026-06-30 11:57:51,USR-2622,2,147,app,transfer_out,250572.84,BEN-7086,PalmPay,NG,0,DEV-44663,0,NG,0.94,completed
TXN-100090,2026-06-30 12:06:14,USR-0654,2,600,app,transfer_out,18373.33,BEN-3085,Moniepoint,NG,0,DEV-49363,0,NG,0.99,completed
TXN-100091,2026-06-30 12:06:58,USR-0815,2,1519,pos,transfer_out,7578.51,BEN-3584,Zenith Bank,NG,0,DEV-19016,0,NG,0.93,completed
TXN-100092,2026-06-30 12:14:56,USR-1882,1,195,web,transfer_out,15500.77,BEN-4249,Wema/ALAT,NG,0,DEV-50888,0,NG,0.96,completed
TXN-100093,2026-06-30 12:30:21,USR-0896,2,1953,app,airtime,70674.45,,,NG,0,DEV-47388,0,NG,0.94,completed
TXN-100094,2026-06-30 12:53:03,USR-2070,2,734,app,transfer_in,87848.5,BEN-2122,Access Bank,NG,0,DEV-17455,0,NG,0.94,completed
TXN-100095,2026-06-30 12:54:10,USR-2989,2,1139,app,transfer_in,14103.85,BEN-3683,PalmPay,NG,0,DEV-58351,0,NG,0.94,completed
TXN-100096,2026-06-30 12:54:46,USR-2534,1,848,app,card_spend,14286.41,,,NG,0,DEV-35105,0,NG,0.95,completed
TXN-100097,2026-06-30 13:07:41,USR-1140,2,248,web,transfer_out,11480.38,BEN-6728,First Bank,NG,0,DEV-71694,0,NG,0.94,completed
TXN-100098,2026-06-30 13:08:15,USR-1456,2,1789,web,card_spend,37632.6,,,NG,0,DEV-54548,0,NG,0.99,completed
TXN-100099,2026-06-30 13:08:36,USR-0896,2,1953,web,transfer_out,39479.13,BEN-4566,Access Bank,NG,0,DEV-47388,0,NG,0.95,completed
TXN-100100,2026-06-30 13:16:15,USR-0123,3,491,app,bill_payment,3652.9,,,NG,0,DEV-16630,0,NG,0.93,completed
TXN-100101,2026-06-30 13:16:59,USR-2233,1,1456,app,bill_payment,4817.94,,,NG,0,DEV-27146,0,NG,0.98,completed
TXN-100102,2026-06-30 13:18:09,USR-3109,2,1505,ussd,bill_payment,3373.39,,,NG,0,DEV-51114,0,NG,0.95,completed
TXN-100103,2026-06-30 13:31:29,USR-2496,2,1625,web,bill_payment,22400.77,,,NG,0,DEV-66450,0,NG,0.98,completed
TXN-100104,2026-06-30 13:40:35,USR-1201,2,471,ussd,transfer_out,37077.2,BEN-6016,Stanbic IBTC,NG,0,DEV-48566,0,NG,0.97,completed
TXN-100105,2026-06-30 13:45:54,USR-2805,2,1806,app,transfer_out,6141.84,BEN-7797,First Bank,NG,0,DEV-86983,0,NG,0.98,completed
TXN-100106,2026-06-30 13:46:56,USR-1517,3,1088,app,transfer_out,104873.68,BEN-4122,OPay,NG,0,DEV-69871,0,NG,0.98,completed
TXN-100107,2026-06-30 13:50:46,USR-0915,3,2169,web,transfer_out,22651.5,BEN-7126,PalmPay,NG,0,DEV-89818,0,NG,0.97,completed
TXN-100108,2026-06-30 14:00:31,USR-2234,2,218,app,transfer_in,7720.7,BEN-9423,Access Bank,NG,0,DEV-53309,0,NG,0.97,completed
TXN-100109,2026-06-30 14:06:24,USR-3837,2,722,ussd,bill_payment,14922.45,,,NG,0,DEV-19807,0,NG,0.93,completed
TXN-100110,2026-06-30 14:17:35,USR-1186,1,1349,web,transfer_out,3584.7,BEN-7594,OPay,NG,0,DEV-87993,0,NG,0.98,completed
TXN-100111,2026-06-30 14:31:05,USR-0954,2,807,app,transfer_out,38751.29,BEN-9056,Wema/ALAT,NG,0,DEV-71669,0,NG,0.97,completed
TXN-100112,2026-06-30 14:39:28,USR-2496,2,1625,app,airtime,31334.56,,,NG,0,DEV-66450,0,NG,0.93,completed
TXN-100113,2026-06-30 14:48:27,USR-2234,2,218,app,transfer_out,12916.48,BEN-9423,UBA,NG,0,DEV-53309,0,NG,0.96,completed
TXN-100114,2026-06-30 15:07:41,USR-2886,1,1794,ussd,transfer_out,61279.91,BEN-8381,PalmPay,NG,0,DEV-89471,0,NG,0.96,completed
TXN-100115,2026-06-30 15:15:03,USR-0103,2,282,pos,transfer_out,5899.92,BEN-2040,First Bank,NG,0,DEV-24371,0,NG,1.0,completed
TXN-100116,2026-06-30 15:16:56,USR-1004,3,1168,app,transfer_in,18914.06,BEN-9317,GTBank,NG,0,DEV-75612,0,NG,0.98,completed
TXN-100117,2026-06-30 15:26:48,USR-1644,1,420,app,transfer_out,10481.1,BEN-2076,UBA,NG,0,DEV-52219,0,NG,0.98,completed
TXN-100118,2026-06-30 15:40:00,USR-2746,3,1068,app,card_spend,5712.86,,,NG,0,DEV-84946,0,NG,0.96,completed
TXN-100119,2026-06-30 15:40:22,USR-0420,1,2080,pos,transfer_in,8050.75,BEN-9645,UBA,NG,0,DEV-19071,0,NG,0.99,completed
TXN-100120,2026-06-30 15:41:06,USR-3627,2,501,pos,airtime,18806.08,,,NG,0,DEV-35443,0,NG,0.97,completed
TXN-100121,2026-06-30 15:47:07,USR-1882,1,195,pos,bill_payment,1728.88,,,NG,0,DEV-50888,0,NG,1.0,completed
TXN-100122,2026-06-30 15:53:17,USR-2662,3,726,pos,transfer_in,8796.52,BEN-5325,Zenith Bank,NG,0,DEV-45697,0,NG,0.97,completed
TXN-100123,2026-06-30 16:02:32,USR-1555,2,1791,app,transfer_out,20738.99,BEN-3165,PalmPay,NG,0,DEV-33021,0,NG,0.93,completed
TXN-100124,2026-06-30 16:03:02,USR-1719,1,700,app,transfer_out,35158.08,BEN-3426,Wema/ALAT,NG,0,DEV-81511,0,NG,0.99,completed
TXN-100125,2026-06-30 16:06:18,USR-0859,2,2073,app,bill_payment,5225.13,,,NG,0,DEV-55236,0,NG,0.94,completed
TXN-100126,2026-06-30 16:16:37,USR-0188,1,801,app,transfer_out,10197.88,BEN-1043,Stanbic IBTC,NG,0,DEV-82350,0,NG,0.97,completed
TXN-100127,2026-06-30 16:20:58,USR-2746,3,1068,app,transfer_out,34188.3,BEN-1715,Wema/ALAT,NG,0,DEV-84946,0,NG,0.99,completed
TXN-100128,2026-06-30 16:35:20,USR-2800,3,1646,app,card_spend,26197.09,,,NG,0,DEV-51505,0,NG,0.96,completed
TXN-100129,2026-06-30 16:36:18,USR-1097,2,1297,app,transfer_out,24717.68,BEN-2874,PalmPay,NG,0,DEV-69469,0,NG,0.93,completed
TXN-100130,2026-06-30 16:43:44,USR-0859,2,2073,app,card_spend,15645.7,,,NG,0,DEV-55236,0,NG,0.97,completed
TXN-100131,2026-06-30 16:49:59,USR-0178,3,906,app,transfer_out,7519.11,BEN-9700,Moniepoint,NG,1,DEV-12671,0,NG,0.94,completed
TXN-100132,2026-06-30 16:57:06,USR-2070,2,734,ussd,card_spend,3503.73,,,NG,0,DEV-17455,0,NG,1.0,completed
TXN-100133,2026-06-30 17:05:21,USR-1094,2,1651,app,bill_payment,9339.31,,,NG,0,DEV-60604,0,NG,0.93,completed
TXN-100134,2026-06-30 17:16:16,USR-2873,2,1118,app,airtime,20374.15,,,NG,0,DEV-16658,0,NG,0.94,completed
TXN-100135,2026-06-30 17:18:53,USR-1882,1,195,pos,card_spend,11769.44,,,NG,0,DEV-50888,0,NG,0.97,completed
TXN-100136,2026-06-30 17:51:43,USR-3472,1,1466,app,transfer_out,17047.15,BEN-3091,Moniepoint,NG,0,DEV-97670,0,NG,0.94,completed
TXN-100137,2026-06-30 18:09:46,USR-0667,2,720,app,card_spend,17786.07,,,NG,0,DEV-75323,0,NG,0.93,completed
TXN-100138,2026-06-30 18:12:58,USR-3778,2,1095,web,transfer_out,8337.32,BEN-7209,OPay,NG,0,DEV-21359,0,NG,0.95,completed
TXN-100139,2026-06-30 18:19:55,USR-2466,1,1098,app,transfer_in,21262.09,BEN-5272,Access Bank,NG,0,DEV-85880,0,NG,0.99,completed
TXN-100140,2026-06-30 18:22:26,USR-0420,1,2080,app,transfer_in,116812.12,BEN-5342,Stanbic IBTC,NG,0,DEV-19071,0,NG,0.98,completed
TXN-100141,2026-06-30 18:36:53,USR-3417,2,626,app,airtime,1792.38,,,NG,0,DEV-47752,0,NG,0.94,completed
TXN-100142,2026-06-30 18:38:33,USR-2299,2,387,app,transfer_out,5040.31,BEN-2200,First Bank,NG,0,DEV-11220,0,NG,0.96,completed
TXN-100143,2026-06-30 18:43:43,USR-3453,3,496,web,transfer_in,53094.53,BEN-7523,First Bank,NG,0,DEV-99873,0,NG,0.99,completed
TXN-100144,2026-06-30 18:54:17,USR-0123,3,491,ussd,transfer_in,33598.66,BEN-4872,OPay,NG,0,DEV-16630,0,NG,0.96,completed
TXN-100145,2026-06-30 18:57:28,USR-0637,1,2036,app,transfer_in,7346.45,BEN-7790,Access Bank,NG,0,DEV-90120,0,NG,0.96,completed
TXN-100146,2026-06-30 18:58:19,USR-3530,1,608,pos,transfer_out,35501.2,BEN-1893,OPay,NG,0,DEV-45954,0,NG,0.95,completed
TXN-100147,2026-06-30 19:00:41,USR-2324,3,1822,ussd,airtime,22828.64,,,NG,0,DEV-16743,0,NG,1.0,completed
TXN-100148,2026-06-30 19:03:33,USR-1140,2,248,pos,airtime,21506.62,,,NG,0,DEV-71694,0,NG,0.94,completed
TXN-100149,2026-06-30 19:10:46,USR-2466,1,1098,ussd,transfer_in,23627.78,BEN-5272,Stanbic IBTC,NG,0,DEV-85880,0,NG,0.96,completed
TXN-100150,2026-06-30 19:11:12,USR-1732,3,1334,web,bill_payment,16412.8,,,NG,0,DEV-47606,0,NG,0.99,completed
TXN-100151,2026-06-30 19:27:37,USR-1840,2,1538,app,transfer_out,3074.42,BEN-3900,GTBank,NG,0,DEV-83385,0,NG,0.98,completed
TXN-100152,2026-06-30 19:29:56,USR-1106,2,1206,app,transfer_out,42034.01,BEN-8894,Moniepoint,NG,0,DEV-31567,0,NG,0.97,completed
TXN-100153,2026-06-30 19:31:41,USR-0419,2,1260,app,airtime,7508.4,,,NG,0,DEV-40735,0,NG,0.98,completed
TXN-100154,2026-06-30 19:33:54,USR-3741,3,471,app,transfer_out,4682.35,BEN-3131,Moniepoint,NG,0,DEV-66606,0,NG,1.0,completed
TXN-100155,2026-06-30 19:36:06,USR-0896,2,1953,app,card_spend,15760.34,,,NG,0,DEV-47388,0,NG,0.98,completed
TXN-100156,2026-06-30 19:38:50,USR-3530,1,608,app,airtime,9292.93,,,NG,0,DEV-45954,0,NG,0.98,completed
TXN-100157,2026-06-30 19:47:36,USR-3837,2,722,app,bill_payment,24443.26,,,NG,0,DEV-19807,0,NG,0.98,completed
TXN-100158,2026-06-30 19:58:44,USR-2662,3,726,app,transfer_out,15169.45,BEN-8934,GTBank,NG,1,DEV-45697,0,NG,0.93,completed
TXN-100159,2026-06-30 20:09:36,USR-2622,2,147,app,card_spend,23316.93,,,NG,0,DEV-44663,0,NG,0.94,completed
TXN-100160,2026-06-30 20:30:17,USR-1456,2,1789,app,transfer_in,3720.27,BEN-3434,Moniepoint,NG,0,DEV-54548,0,NG,0.96,completed
TXN-100161,2026-06-30 20:41:28,USR-3921,2,986,pos,transfer_out,2389.28,BEN-2988,Stanbic IBTC,NG,0,DEV-33053,0,NG,0.99,completed
TXN-100162,2026-06-30 20:48:01,USR-3367,1,1064,pos,transfer_out,5880.96,BEN-5347,Access Bank,NG,0,DEV-87182,0,NG,0.96,completed
TXN-100163,2026-06-30 20:54:42,USR-3921,2,986,app,transfer_in,41491.88,BEN-8611,OPay,NG,0,DEV-33053,0,NG,0.99,completed
TXN-100164,2026-06-30 21:02:49,USR-2473,2,956,web,bill_payment,31427.56,,,NG,0,DEV-69598,0,NG,0.95,completed
TXN-100165,2026-06-30 21:03:28,USR-1644,1,420,app,transfer_in,6169.62,BEN-3067,Access Bank,NG,0,DEV-52219,0,NG,0.96,completed
TXN-100166,2026-06-30 21:25:33,USR-2662,3,726,ussd,airtime,5483.3,,,NG,0,DEV-45697,0,NG,0.95,completed
TXN-100167,2026-06-30 21:32:43,USR-3148,2,590,web,transfer_out,6826.99,BEN-1349,OPay,NG,0,DEV-69600,0,NG,0.96,completed
TXN-100168,2026-06-30 21:33:43,USR-1003,3,1299,pos,bill_payment,8436.66,,,NG,0,DEV-12875,0,NG,0.93,completed
TXN-100169,2026-06-30 21:38:13,USR-0953,3,339,app,airtime,57796.75,,,NG,0,DEV-51104,0,NG,0.94,completed
TXN-100170,2026-06-30 21:48:27,USR-2805,2,1806,app,bill_payment,7085.92,,,NG,0,DEV-86983,0,NG,0.95,completed
TXN-100171,2026-06-30 21:55:55,USR-3109,2,1505,ussd,transfer_out,6240.05,BEN-5173,Stanbic IBTC,NG,0,DEV-51114,0,NG,0.97,completed
TXN-100172,2026-06-30 22:12:19,USR-0103,2,282,app,card_spend,72737.79,,,NG,0,DEV-24371,0,NG,0.95,completed
TXN-100173,2026-06-30 22:24:23,USR-2496,2,1625,ussd,airtime,74807.9,,,NG,0,DEV-66450,0,NG,0.97,completed
TXN-100174,2026-06-30 22:26:48,USR-3504,2,195,web,card_spend,39520.7,,,NG,0,DEV-21970,0,NG,0.95,completed
TXN-100175,2026-06-30 22:28:35,USR-1106,2,1206,ussd,card_spend,9900.57,,,NG,0,DEV-31567,0,NG,0.96,completed
TXN-100176,2026-06-30 22:51:48,USR-0572,2,92,ussd,transfer_out,47824.93,BEN-1319,UBA,NG,0,DEV-88504,0,NG,0.97,completed
TXN-100177,2026-06-30 23:02:15,USR-2070,2,734,app,card_spend,765.43,,,NG,0,DEV-17455,0,NG,0.97,completed
TXN-100178,2026-06-30 23:08:39,USR-0934,2,1949,ussd,card_spend,8748.7,,,NG,0,DEV-19329,0,NG,0.94,completed
TXN-100179,2026-06-30 23:12:08,USR-0380,1,1037,pos,card_spend,22820.18,,,NG,0,DEV-60205,0,NG,0.98,completed
TXN-100180,2026-06-30 23:13:16,USR-3179,1,1456,pos,bill_payment,25042.82,,,NG,0,DEV-41925,0,NG,0.99,completed
TXN-100181,2026-06-30 23:57:45,USR-3038,2,2007,pos,card_spend,8793.62,,,NG,0,DEV-79352,0,NG,0.97,completed
TXN-100182,2026-07-01 00:03:58,USR-1551,2,2114,pos,transfer_out,10473.14,BEN-6813,OPay,NG,0,DEV-52600,0,NG,0.93,completed
